Label,Deposit,SiO2,TiO2,Al2O3,TFe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U
Au-rich PCDs,Bozshakol Cu-Au,73.13,0.31,14.12,1.71,0.02,1.26,0.71,3.75,3.02,0.17,52.2,216,13.9,91.7,5.76,718,16.9,29.2,3.14,13.4,2.74,0.91,2.8,0.37,2.37,0.42,1.17,0.18,1.11,0.18,2.88,0.31,2.84,0.57
Au-rich PCDs,Nurkazghan Cu-Au,67.19,0.37,15.99,2.25,0.09,0.67,1.88,2.43,6.16,0.17,145,134,16.5,115,6.54,537,17.2,29,3.22,12.5,2.69,0.71,2.53,0.46,2.78,0.52,1.51,0.25,1.67,0.31,3.54,0.48,4.23,2.93
Au-rich PCDs,Nurkazghan Cu-Au,65.15,0.39,15.28,4.56,0.07,1.17,3.27,3.61,3.78,0.17,67.4,556,15.3,132,6.66,760,13,25,3.12,12.2,2.69,0.92,2.3,0.43,2.4,0.45,1.44,0.23,1.63,0.25,3.6,0.47,4.36,1.44
Au-rich PCDs,Nurkazghan Cu-Au,52.78,0.71,17.66,9.89,0.44,3.68,6.5,3.45,1.08,0.34,24.7,553,23,111,4,281,13.9,27.6,3.75,16.8,4.02,1.5,3.49,0.64,3.89,0.79,2.21,0.35,2.08,0.38,3.22,0.47,1.77,0.85
Au-rich PCDs,Nurkazghan Cu-Au,57.98,0.54,17.18,7.8,0.1,1.87,5.45,4.91,1.23,0.3,45.2,634,17.8,124,6.35,304,24.2,45.7,5.04,17.9,3.76,1.52,3.21,0.49,3.14,0.6,1.83,0.29,1.85,0.31,3.61,0.47,3.87,3.02
Au-rich PCDs,Nurkazghan Cu-Au,57.97,0.57,16.66,7.29,0.18,1.86,4,4.15,3.78,0.28,70.8,522,23,172,6.88,765,24.2,45,4.13,17,4.28,1.37,3.55,0.66,3.98,0.72,2.33,0.36,2.5,0.34,4.66,0.47,3.55,3.63
Au-rich PCDs,Nurkazghan Cu-Au,62.79,0.42,16.1,5.06,0.03,1.25,3.74,3.88,3.77,0.19,87.4,458,15.9,115,6.56,815,12.6,21.7,2.55,11.1,2.47,0.91,2.18,0.36,2.67,0.5,1.57,0.25,1.7,0.28,3,0.47,4.33,1.73
Au-rich PCDs,Nurkazghan Cu-Au,64.67,0.4,15.83,4.81,0.05,1.27,1.94,3.55,4.4,0.18,116,429,18.4,106,7.97,712,16.9,38.7,4.06,18.9,3.72,1.18,3.53,0.57,3.33,0.64,1.9,0.3,2.08,0.32,3.55,0.47,6.52,2.37
Au-rich PCDs,Schaft Creek Cu-Mo-Au,64.92,0.45,16.19,4.02,0.4,1.73,3.64,4.6,2.81,0.17,53,602,12,113,4.2,1014,13.81,26.7,3.19,12.37,2.78,0.825,2.41,0.39,2.14,0.42,1.22,0.196,1.33,0.2,3.4,0.4,5.04,2.65
Au-rich PCDs,Schaft Creek Cu-Mo-Au,65.98,0.438,15.63,3.01,0.07,1.65,2.88,5.44,2.01,0.16,46,453,12,118,4.6,761,13.57,27.6,3.2,12.16,2.65,0.781,2.24,0.37,2.17,0.41,1.22,0.197,1.34,0.21,3.2,0.4,4.95,3.07
Au-rich PCDs,Schaft Creek Cu-Mo-Au,67.14,0.431,15.71,3.52,0.11,1.45,3.44,4.45,2.97,0.15,71,572,12,124,4.7,1212,15,28.6,3.44,13.06,2.69,0.783,2.37,0.38,2.01,0.39,1.17,0.183,1.25,0.19,3.5,0.5,5.53,2.22
Au-rich PCDs,Schaft Creek Cu-Mo-Au,66.82,0.298,15.75,2.59,0.14,0.94,2.45,4.61,2.61,0.12,50,510,6,94,2.6,1022,9.65,17.7,2.04,7.45,1.62,0.529,1.37,0.21,1.1,0.22,0.66,0.103,0.7,0.12,2.6,0.2,3.37,1.26
Au-rich PCDs,Schaft Creek Cu-Mo-Au,66.21,0.342,15.95,2.72,0.16,1.13,2.85,5.09,2.61,0.13,48,796,10,105,3.5,1124,11.62,23.7,2.97,11.17,2.32,0.656,1.95,0.3,1.56,0.3,0.9,0.139,0.95,0.15,2.9,1.8,3.37,1.29
Au-rich PCDs,Schaft Creek Cu-Mo-Au,66.8,0.34,15.86,2.72,0,1.39,2.69,5.53,1.98,0.13,36,509,7,98,3,1339,9.4,19.1,2.38,9.36,2.04,0.619,1.75,0.26,1.37,0.27,0.78,0.122,0.82,0.13,2.8,0.3,2.91,1.45
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,65.32,0.3,15.38,3.79,0.05,1.65,3.65,4.01,2.68,0.13,41.9,602,8.5,98,4.9,447,14.1,27.8,3.13,12.2,2.34,0.64,1.87,0.27,1.48,0.31,0.92,0.14,0.99,0.17,2.9,0.4,3.59,1.84
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,65.38,0.34,15.76,3.62,0.03,1.58,3.18,3.41,3.25,0.15,58.4,617,9.3,112,4,513,13.5,27.1,3.36,12.8,2.54,0.74,2.09,0.3,1.64,0.34,0.98,0.15,1.06,0.18,2.9,0.29,2.89,1.13
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,64.13,0.35,15.64,4.45,0.03,1.82,3.31,3.51,2.96,0.14,55.2,492,8.8,95,4.1,444,13.5,26.7,3.23,12.3,2.42,0.77,2.03,0.29,1.65,0.33,0.96,0.16,1.1,0.17,2.6,0.31,2.43,1.02
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,64.45,0.32,15.55,3.85,0.04,1.78,3.25,3.78,2.91,0.12,48.6,578,8.9,110,4.2,482,13.6,26.8,3.25,12.6,2.37,0.68,1.96,0.28,1.52,0.32,0.97,0.15,1.08,0.17,2.8,0.35,2.75,1.23
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,65.11,0.33,15.68,4.2,0.05,1.59,3.42,3.85,3.12,0.13,52.1,523,9.2,99,4.5,472,13.8,27.5,3.3,12.5,2.48,0.71,2.01,0.3,1.61,0.31,0.95,0.14,1.09,0.18,2.7,0.38,3.25,1.56
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,71.49,0.17,15.28,0.82,0,0.39,0.22,4.43,3.96,0.07,35.2,259.78,2.92,80.48,3.02,534.94,4.73,9.16,1.25,5.09,0.97,0.36,0.77,0.11,0.62,0.13,0.37,0.06,0.39,0.06,2.19,0.13,0.94,0.36
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,69.93,0.2,15.43,1.36,0.05,0.59,2.63,3.46,3.62,0.06,37.4,260.62,4.73,90.69,3.41,471.56,8.01,14.47,1.94,7.64,1.41,0.42,1.11,0.16,0.94,0.19,0.52,0.08,0.54,0.09,2.43,0.16,0.95,0.74
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,66.32,0.2,17.87,1.64,0.04,0.96,1.92,3.87,3.59,0.06,38.07,344.84,5.69,102.09,3.64,374.28,5.7,10.42,1.39,5.16,1.13,0.35,1,0.16,0.96,0.21,0.59,0.1,0.68,0.11,2.7,0.14,1.13,0.65
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,71.94,0.19,14.55,1.39,0.02,0.37,1.13,3.77,4.17,0.08,36.14,196.22,2.83,82.43,2.89,787.39,6.27,11.56,1.49,5.92,1.09,0.41,0.87,0.12,0.64,0.12,0.33,0.05,0.35,0.06,2.22,0.12,1.13,0.49
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,69.89,0.18,15.38,0.56,0.03,0.36,2.69,5.21,2.28,0.06,23.07,353.87,2.79,84.03,3.07,315.83,5.9,10.07,1.4,5.49,1,0.3,0.75,0.1,0.56,0.12,0.35,0.06,0.4,0.07,2.29,0.14,1.07,0.59
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,70.37,0.21,16.4,1.28,0.01,0.42,1,4.97,3.28,0.07,39.15,185.18,2.19,94.13,3.58,562.88,7.68,13.78,1.87,7.26,1.26,0.35,0.89,0.11,0.55,0.1,0.31,0.05,0.35,0.06,2.56,0.17,1.19,0.82
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,63.91,0.38,15.62,5.03,0.1,1.98,5.71,4.7,1.13,0.16,12.2,784,10,100,5,268,13.3,26.4,3.36,12.8,2.74,0.85,2.24,0.33,1.89,0.38,1.08,0.17,1.14,0.2,2.7,0.35,3.07,1.4
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,63.5,0.35,15.95,5.26,0.09,1.41,6.56,4.53,1.74,0.15,7.6,1050,9.5,84,4.4,180,12.4,25.3,3.11,12.3,2.57,0.86,2.3,0.3,1.78,0.36,1.03,0.16,1.02,0.17,2.4,0.4,2.63,1.18
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,63.39,0.34,15.46,4.5,0.09,1.89,5.39,5.23,1.67,0.14,28.2,280,9.3,88,4.5,255,13.6,27.1,3.38,12.8,2.53,0.7,2.13,0.3,1.7,0.35,1,0.16,1.07,0.18,2.3,0.31,2.63,1.27
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,63.56,0.36,15.58,4.8,0.1,1.52,5.69,4.88,1.52,0.14,20.6,553,9.8,92,4.6,198,12.8,25.8,3.27,12.6,2.62,0.79,2.2,0.32,1.79,0.42,1.05,0.15,1.08,0.19,2.5,0.38,2.89,1.25
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,63.82,0.37,15.72,5.1,0.09,1.78,6.2,5.12,1.61,0.16,14.6,869,9.7,97,4.8,225,13,26.9,3.29,12.4,2.59,0.81,2.17,0.31,1.8,0.32,1.07,0.16,1.12,0.18,2.8,0.32,2.76,1.31
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,68.85,0.23,11.96,3.34,0.06,1.49,6.17,1,4.15,0.1,72.3,106,4.4,69,4,502,9.6,19.8,2.46,10,1.82,0.53,1.49,0.17,0.84,0.17,0.45,0.06,0.38,0.06,2,0.42,2.76,1.04
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,66.18,0.28,13.52,5.2,0.1,1.83,5.86,1.13,4.42,0.13,80.3,166.5,10.8,90,4.4,508,12.5,26.9,3.24,12.9,3.02,0.78,2.29,0.34,1.84,0.38,1.15,0.18,1.21,0.2,2.4,0.39,2.62,1.29
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,67.22,0.24,11.09,4.82,0.09,1.73,6.12,1.69,3.77,0.11,70.4,128,9.3,67,3.7,424,12.4,26.1,3.31,13.4,2.41,0.76,2.27,0.28,1.6,0.34,0.94,0.14,0.98,0.15,2,0.3,2.31,1.01
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,66.98,0.25,12.7,3.89,0.07,1.58,5.92,1.52,4.22,0.12,78.5,152,8.5,85,3.8,468,11.8,22.7,2.78,11.2,1.99,0.62,1.8,0.21,0.98,0.28,0.98,0.15,0.85,0.17,2.2,0.38,2.52,1.21
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,67.82,0.26,13.21,4.51,0.08,1.68,6.01,1.31,3.98,0.11,72.6,138,7.2,78,4.2,458,10.9,25.1,3.01,12.6,2.18,0.68,2.1,0.31,1.71,0.31,0.72,0.09,1.1,0.09,2.1,0.35,2.67,1.16
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,63.61,0.39,17.68,4.54,0.08,1.32,4.62,4.18,1.5,0.14,22.5,804,9.81,69.8,4.69,297,12.7,24.4,3.02,12.1,2.37,0.76,2.13,0.29,1.66,0.33,0.97,0.14,0.97,0.15,1.89,0.36,2.96,2.52
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,62.5,0.42,17.36,5.69,0.09,2.18,3.18,2.58,3.76,0.15,66.8,546,10.3,70.4,4.63,624,13.3,27.2,3.23,12.9,2.62,0.83,2.33,0.31,1.76,0.35,1.01,0.14,1.04,0.15,1.91,0.43,2.07,1.8
Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,62.64,0.38,17.7,4.72,0.1,2.08,4,2.93,3.21,0.15,53.7,682,10.3,77.8,4.4,520,12.8,24.4,3.09,12.4,2.46,0.83,2.21,0.3,1.73,0.34,1.03,0.15,1,0.15,2.03,0.39,2.16,1.87
Au-rich PCDs,Koksai Cu-Au,70.94,0.44,16.35,1.85,0.02,1.08,0.28,1.78,3.76,0.09,46.8,153,4.65,51.3,5.09,497,10.2,19.2,2.29,8.26,1.37,0.38,1.09,0.16,0.83,0.15,0.52,0.08,0.62,0.1,1.75,0.46,5.46,1.58
Au-rich PCDs,Koksai Cu-Au,71.01,0.47,14.12,2.97,0.05,1.53,0.44,4.26,1.61,0.14,40.7,167,14.8,69.6,6.53,208,26.7,46.8,5.53,20.8,3.73,0.92,3.12,0.52,2.64,0.52,1.51,0.24,1.57,0.23,2.19,0.46,7.36,1.93
Au-rich PCDs,Koksai Cu-Au,67.79,0.45,15.34,2.47,0.03,1.75,1.32,4.23,3.52,0.19,72.4,141,6.75,65.2,7.52,782,11.3,21.4,2.52,8.8,1.54,0.5,1.4,0.24,1.23,0.22,0.69,0.11,0.74,0.11,2.26,0.64,5.91,2.75
Au-rich PCDs,Shaxi Cu-Au,55.9,0.59,17.5,5.76,0.03,2.92,5.43,4.56,1.77,0.35,35,1070,9.7,32.6,4.5,610,15.1,31.7,3.94,16.2,3.38,1.16,3.29,0.41,2.32,0.41,1.1,0.15,0.94,0.14,1.1,0.25,2.5,0.8
Au-rich PCDs,Shaxi Cu-Au,56.5,0.58,17.65,6.73,0.05,2.43,5.17,4.74,2.16,0.34,38.8,948,8.4,33.2,4.4,680,12.6,27.5,3.42,14.2,2.93,1.09,2.85,0.39,2.06,0.39,1.05,0.14,0.91,0.14,1,0.25,2.5,0.8
Au-rich PCDs,Shaxi Cu-Au,56.29,0.59,17.43,7.08,0.03,2.85,4.13,5.53,2.34,0.35,72.1,999,12.5,42.5,5.2,770,21.7,44.5,5.63,21.7,4.55,1.4,3.63,0.47,2.42,0.46,1.14,0.17,1,0.16,1.1,0.24,3.8,1.3
Au-rich PCDs,Shaxi Cu-Au,57.08,0.59,17.47,7.24,0.04,2.57,5.05,5.27,2.06,0.35,50.2,1010,11.6,38.5,4.6,720,16.6,36.4,4.49,18.4,3.83,1.35,3.38,0.44,2.46,0.47,1.26,0.17,1.05,0.16,1.1,0.32,3,1.1
Au-rich PCDs,Shaxi Cu-Au,56.87,0.59,17.61,8.1,0.04,2.53,4.18,5.18,2.26,0.36,65,977,11.7,42.4,4.7,740,16.2,35.9,4.51,18.4,3.88,1.45,3.4,0.45,2.45,0.48,1.26,0.17,1.03,0.17,1.1,0.24,2.9,1.1
Au-rich PCDs,Shaxi Cu-Au,57.34,0.6,17.78,6.64,0.04,3.04,4.99,5.12,1.67,0.36,32.2,947,10.4,41.2,4.6,540,14,30.4,3.74,15.6,3.35,1.09,3.02,0.41,2.26,0.43,1.15,0.16,0.93,0.15,1.1,0.25,2.6,0.9
Au-rich PCDs,Shaxi Cu-Au,55.73,0.58,17.32,7.5,0.03,2.65,4.14,5.66,2.12,0.35,58.5,884,10.8,38.8,4.5,580,15.8,34.3,4.21,17.2,3.55,1.33,3.16,0.42,2.31,0.43,1.16,0.16,0.96,0.15,1.1,0.24,2.8,1
Au-rich PCDs,Shaxi Cu-Au,57.13,0.6,17.64,7.27,0.04,2.58,5.07,5.22,2.17,0.35,72.3,1040,13.8,36.3,5.3,770,24.2,51.2,6.5,25.2,5.2,1.76,4.11,0.53,2.72,0.51,1.31,0.19,1.13,0.18,1.1,0.24,3.7,1.5
Au-rich PCDs,Shaxi Cu-Au,56.06,0.6,17.42,7.56,0.03,2.71,3.94,5.62,2.25,0.35,78.8,937,13.2,39.9,5.1,600,24.5,50.5,6.26,24,4.87,1.59,3.82,0.5,2.52,0.47,1.16,0.17,1.03,0.16,1.1,0.24,3.8,1.4
Au-rich PCDs,Xiongcun I Cu-Au,68.31,0.37,14.35,6.95,0.3,2.35,0.68,0.41,2.87,0.17,74.65,79.61,11.21,93.27,5.79,204.3,12.01,19.74,2.6,12.22,2.29,0.68,2.29,0.34,1.83,0.36,1.16,0.21,1.15,0.18,2.27,0.73,3.64,0.3
Au-rich PCDs,Xiongcun I Cu-Au,68.89,0.4,17.71,3.24,0.05,0.79,0.27,0.43,5.02,0.02,120,30.4,4.94,94.1,7.09,164,7.58,12.1,1.83,7.94,1.53,0.47,1.3,0.16,0.9,0.2,0.61,0.1,0.69,0.12,2.66,0.44,3.18,0.55
Au-rich PCDs,Xiongcun I Cu-Au,68.74,0.33,13.43,7.94,0.59,2.97,0.59,0.29,1.94,0.16,71.17,49.23,9.93,90.79,6.92,112.55,13.98,25.61,3.01,14.04,2.61,0.86,2.39,0.32,1.64,0.32,1.01,0.19,1.07,0.17,2.05,0.42,4.08,0.51
Au-rich PCDs,Xiongcun I Cu-Au,69.7,0.36,13.72,6.47,0.06,0.6,0.49,0.4,3.93,0.02,105.3,49.02,11.77,92.17,0.96,202.1,7.46,14.55,1.64,7.97,1.75,0.62,1.92,0.3,1.82,0.38,1.18,0.21,1.15,0.18,2.26,0.07,2.8,0.21
Au-rich PCDs,Xiongcun I Cu-Au,65.56,0.38,15.64,7.11,0.22,1.36,0.89,0.32,3.85,0.22,98.12,55.48,13.15,99.37,3.96,279.2,15.21,30.3,3.11,15.64,2.93,0.98,2.91,0.41,2.18,0.44,1.37,0.25,1.33,0.21,2.47,0.28,4.36,0.39
Au-rich PCDs,Xiongcun I Cu-Au,67.03,0.41,16.29,6.54,0.06,0.78,0.53,0.42,4.42,0.16,105.81,59.99,15.82,108.42,1.4,577.54,17.57,29.53,3.69,15.15,3.1,0.96,2.99,0.51,2.55,0.53,1.61,0.23,1.37,0.25,5.59,0.11,3.82,0.35
Cu-rich PCDs,Erdenet Cu-Mo,67.41,0.48,14.87,2.92,0.04,1.17,2.58,4.35,3.44,0.11,55.8,834,12.5,160,6.03,957,20.7,39.6,4.63,17.9,3.21,0.81,2.59,0.43,2.31,0.44,1.26,0.22,1.38,0.22,5.97,0.58,9.42,2.76
Cu-rich PCDs,Erdenet Cu-Mo,68.13,0.55,14.95,3.64,0.05,1.44,1.41,4.57,3.36,0.14,43.9,966,13.1,178,4.98,759,17.1,34.4,4.31,17.1,3.33,0.83,2.65,0.49,2.55,0.47,1.46,0.23,1.48,0.23,5.93,0.49,6.78,1.71
Cu-rich PCDs,Erdenet Cu-Mo,69.38,0.38,15.71,2.73,0.03,0.96,1.58,5.08,2.33,0.13,42.3,844,5.15,116,2.63,880,13.3,26.4,3.04,11.5,1.96,0.6,1.71,0.19,1,0.18,0.52,0.07,0.45,0.08,2.87,0.25,2.75,1.04
Cu-rich PCDs,Erdenet Cu-Mo,69.97,0.38,15.58,1.88,0.02,0.97,0.72,5.44,3.2,0.13,53,479,5.39,146,2.61,761,8.5,16,2.23,8.9,1.61,0.46,1.4,0.2,1.1,0.22,0.65,0.09,0.64,0.09,3.55,0.21,2.5,1.04
Cu-rich PCDs,Erdenet Cu-Mo,68.47,0.41,15.96,2.85,0.03,1.12,1.28,5.37,2.54,0.14,55.6,905,5.39,124,2.85,920,13.4,26.2,3.01,11.5,2.01,0.58,1.65,0.21,1.08,0.19,0.56,0.08,0.55,0.08,3.1,0.35,3.06,1.02
Cu-rich PCDs,Erdenet Cu-Mo,66,0.72,15.75,4.26,0.04,1.62,2.86,4.3,2.81,0.18,61.6,798,12.9,203,5.09,1138,14.6,30,3.8,15.4,3.16,0.91,3.15,0.44,2.48,0.48,1.35,0.19,1.25,0.18,4.75,0.28,3.67,1.28
Cu-rich PCDs,Erdenet Cu-Mo,62.73,0.75,16.89,4.73,0.04,2.49,3,4.31,3,0.19,79.4,703,13.8,252,5.05,735,20.7,41,5.13,20.1,3.75,0.98,3.68,0.5,2.83,0.54,1.52,0.21,1.37,0.21,5.65,0.4,5.33,1.89
Cu-rich PCDs,Erdenet Cu-Mo,59.32,0.72,17.52,6.75,0.09,2.67,5.48,4.77,1.44,0.3,23.1,952,13.9,121,3.92,495,17.6,35.8,4.5,18.7,3.63,1.09,3.66,0.48,2.75,0.55,1.5,0.21,1.36,0.2,3.04,0.31,3.61,0.8
Cu-rich PCDs,Erdenet Cu-Mo,61.01,0.82,17.28,5.23,0.08,2.59,4.45,4.94,2.73,0.22,43.6,826,16.5,349,5.26,761,21.6,37.6,5.4,21.3,4.13,0.98,4.08,0.55,3.19,0.63,1.75,0.24,1.62,0.24,7.5,0.41,5.29,1.54
Cu-rich PCDs,Erdenet Cu-Mo,61.96,0.92,15.4,5.7,0.08,1.88,3.78,4.67,3.13,0.26,77.4,312,21.8,327,7.88,632,22.6,46.9,6.4,25.9,5.17,1.1,5.13,0.72,4.25,0.84,2.36,0.34,2.17,0.33,7.41,0.64,13.3,1.16
Cu-rich PCDs,Erdenet Cu-Mo,59.06,1.08,16.4,6.81,0.1,2.45,4.59,4.39,3.18,0.3,78.3,754,23.3,334,8.4,827,23.8,49.8,6.62,27.2,5.5,1.21,5.44,0.75,4.5,0.87,2.6,0.37,2.39,0.35,7.28,0.62,8.33,0.72
Cu-rich PCDs,Erdenet Cu-Mo,68.64,0.3,16.88,2.08,0.09,0.66,2.77,4.9,2.54,0.13,71,1179,5.5,98.2,7.82,1878,9,18.2,3.26,9.6,2,0.56,1.3,0.21,0.9,0.14,0.4,0.05,0.35,0.06,3.4,0.1,1.1,0.6
Cu-rich PCDs,Erdenet Cu-Mo,64.8,0.46,17.4,3.31,0.05,1.14,2.82,6,1.28,0.17,51,1280,7.23,101,4.62,817,13,26,3.26,12.2,2.7,0.74,2,0.23,0.9,0.14,0.4,0.05,0.41,0.08,3.1,0.2,1.7,0.8
Cu-rich PCDs,Erdenet Cu-Mo,64.6,0.54,15.6,5.61,0.05,1.16,2.11,5,2.11,0.19,45,980,5,112,5.62,1051,14.7,30,3.26,15.7,3.4,0.84,1.9,0.28,0.9,0.14,0.4,0.05,0.55,0.09,3.3,0.2,2.8,1.3
Cu-rich PCDs,Erdenet Cu-Mo,68.26,0.35,16.44,3.02,0.06,0.82,2.55,5.04,2.4,0.12,48,1105,5,105,5.14,1358,15.3,29.9,3.26,14.1,2.6,0.67,1.6,0.26,0.9,0.14,0.4,0.05,0.54,0.09,3.6,0.2,2,0.8
Cu-rich PCDs,Erdenet Cu-Mo,65.67,0.38,15.24,3.6,0.03,0.72,1.46,4.31,3.13,0.12,52,523,4,108,2,1090,17.6,32.5,3.26,13.2,2.1,0.85,1.4,0.14,0.9,0.14,0.4,0.05,0.4,0.09,3,0.18,2.8,0.79
Cu-rich PCDs,Quellaveco Cu-Mo,67.96,0.34,16.22,2.62,0.03,1.24,1.73,3.27,3.02,0.16,69.9,469.8,7.2,94.4,4.2,694,17.4,37,4.33,15,2.67,0.74,1.65,0.28,1.22,0.22,0.6,0.1,0.64,0.11,2.7,0.3,3,1.4
Cu-rich PCDs,Quellaveco Cu-Mo,63.65,0.42,17.07,3.36,0.04,1.39,1.74,2.75,5.49,0.17,125.3,706.9,7.2,107.4,4.6,1481,18.3,36.7,4.33,16.6,2.75,0.7,2.1,0.26,1.3,0.23,0.68,0.1,0.74,0.11,3,0.3,3.2,2.4
Cu-rich PCDs,Quellaveco Cu-Mo,65.17,0.43,16.68,2.16,0.03,1.23,2.51,3.24,4.77,0.18,111.7,794.9,7.1,110.6,4.8,1063,17.2,34.4,4.01,16.1,2.62,0.71,1.98,0.25,1.26,0.23,0.67,0.1,0.68,0.11,3.3,0.3,3,1.8
Cu-rich PCDs,Quellaveco Cu-Mo,66.76,0.36,16.86,2.46,0.04,1.21,3.39,4.24,2.43,0.15,48.6,614.9,6.2,95.6,3.6,1652,15.7,31.8,3.53,13.4,2.42,0.66,1.64,0.21,1.12,0.21,0.6,0.09,0.59,0.1,2.7,0.3,3.2,1.1
Cu-rich PCDs,Quellaveco Cu-Mo,67.31,0.41,16.91,1.98,0.05,1.44,1.9,3.9,2.52,0.17,58.7,381.6,9.3,101,3.3,330,36.3,69.3,7.65,28.6,4.65,1.38,3.34,0.38,1.88,0.34,0.97,0.13,0.87,0.13,2.9,0.3,2.8,1.9
Cu-rich PCDs,Quellaveco Cu-Mo,65.88,0.38,16.52,3.1,0.03,1.14,3.2,3.69,2.23,0.16,56,769.6,6,79.8,3.2,685,14,27.9,3.25,12.6,2.26,0.75,1.84,0.23,1.06,0.21,0.68,0.09,0.54,0.09,2.4,0.2,2.4,1.2
Cu-rich PCDs,Quellaveco Cu-Mo,65.16,0.35,16.2,3.11,0.04,0.99,3.1,4.28,3.52,0.15,63.2,628.4,4.9,89.4,3.6,664,19.6,34.9,3.7,13.1,2.07,0.6,1.4,0.16,0.82,0.16,0.5,0.08,0.51,0.1,2.7,0.3,3.3,1
Cu-rich PCDs,Quellaveco Cu-Mo,67.89,0.32,16.64,1.99,0.03,1.01,3.43,5.04,1.08,0.14,42.8,811.3,7.3,96.7,3.5,225,22.7,40.2,4.48,16.2,2.61,0.76,1.98,0.25,1.32,0.25,0.71,0.1,0.66,0.1,2.9,0.3,3,1.4
Cu-rich PCDs,Quellaveco Cu-Mo,65.65,0.35,16.57,3.66,0.03,1.16,2.91,4.26,3.29,0.16,81.9,663.6,6.5,93.1,3.7,802,15.3,29.7,3.32,13.1,2.42,0.63,1.75,0.23,1.34,0.23,0.69,0.1,0.7,0.1,2.7,0.2,3.3,1.3
Cu-rich PCDs,Quellaveco Cu-Mo,67.11,0.34,16.76,3.16,0.06,1,3.57,4.32,2.03,0.15,43.6,805.5,6.2,105.7,3.2,705,16.5,31.5,3.54,13.5,2.3,0.65,1.56,0.22,1.17,0.22,0.66,0.1,0.6,0.1,3.1,0.3,3.2,1.3
Cu-rich PCDs,Quellaveco Cu-Mo,65.36,0.44,16.26,2.61,0.04,1.42,2.52,3.51,3.77,0.18,86.8,735.4,6.2,108.6,3.9,958,19,36.2,4.24,15.7,2.78,0.68,1.94,0.25,1.26,0.24,0.68,0.11,0.6,0.11,3,0.2,3.2,1.7
Cu-rich PCDs,Quellaveco Cu-Mo,67.35,0.32,16.27,2.95,0.03,1.15,2.88,3.77,2.46,0.16,52.7,592.7,5.5,99,3.1,740,17.1,31.9,3.57,13.3,2.27,0.68,1.48,0.19,0.98,0.19,0.6,0.08,0.57,0.09,2.8,0.2,2.6,1.1
Cu-rich PCDs,Quellaveco Cu-Mo,65.65,0.44,16.48,2.93,0.06,1.7,2.78,3.85,3.21,0.16,88.9,477.7,6.5,115,3.8,457,16.2,30.7,3.34,12.4,2.25,0.6,1.68,0.21,1.18,0.22,0.6,0.08,0.53,0.09,3.3,0.2,4,1.7
Cu-rich PCDs,Quellaveco Cu-Mo,67.81,0.32,16.39,2.81,0.04,1.01,2.98,3.99,3.14,0.14,75.7,635.6,5.8,94.5,3.4,817,15.2,28.6,3.21,12.4,1.97,0.6,1.51,0.2,1.07,0.18,0.57,0.08,0.55,0.1,2.7,0.2,3.5,1
Cu-rich PCDs,Quellaveco Cu-Mo,64.82,0.5,17.4,3.41,0.03,1.28,3.33,4.49,2.13,0.19,55.8,689.1,6.5,110.7,4.5,756,27.9,51.9,6.02,21.9,3.29,0.9,2.42,0.28,1.38,0.23,0.59,0.09,0.56,0.09,2.9,0.2,3.7,1
Cu-rich PCDs,Quellaveco Cu-Mo,66.34,0.33,16.31,3.45,0.05,1.19,2.66,3.39,2.56,0.13,58.3,531.5,5.3,96.7,3.1,733,13.3,26.5,2.83,10.7,1.96,0.63,1.41,0.19,1.06,0.2,0.6,0.09,0.6,0.09,2.9,0.2,3.4,1.1
